kind,number,file,bytes,sha256,source_url,version_note,downloaded_at
public_pdf,1,01_Wang_Agents_in_Software_Engineering_author_manuscript.pdf,728656,07210CA5EE727F643E36CF49B3E6C6C05119483F61EEF0130664B54ED69EAE3C,https://arxiv.org/pdf/2409.09030,作者公开稿（arXiv 2409.09030）；正式著录以 Springer DOI 为准,2026-07-24T22:46:48+08:00
public_pdf,2,02_Qian_ChatDev_ACL_2024.pdf,3342208,416199189202F8E65A2684B9E13FACF4132A618E39F1D0FCCF6C923B066D3B54,https://aclanthology.org/2024.acl-long.810.pdf,ACL Anthology 正式版本（CC BY 4.0）,2026-07-24T22:46:48+08:00
public_pdf,3,03_Yang_SWE-agent_NeurIPS_2024.pdf,4411168,0116614120DDFAA37E7C944B7205B4F05523A2415E11846081C08DD0D848EA05,https://proceedings.neurips.cc/paper_files/paper/2024/file/5a7c947568c1b1328ccc5230172e1e7c-Paper-Conference.pdf,NeurIPS 2024 正式会议版本,2026-07-24T22:46:48+08:00
public_pdf,4,04_Wang_LLM_Autonomous_Agents_Survey.pdf,4343813,7BC39A036655AB7523CD56963738A0C0E8EAB7790EF43318FF8706C36DC67B8A,https://link.springer.com/content/pdf/10.1007/s11704-024-40231-1.pdf,Springer/Higher Education Press 正式开放版本（CC BY）,2026-07-24T22:46:48+08:00
public_pdf,5,05_Hong_MetaGPT_author_manuscript.pdf,16753634,17582E47647FAC8EAA3681FEADE41C8408310C4133ACC5C6823565FBE880E1AC,https://arxiv.org/pdf/2308.00352,作者公开稿（arXiv 2308.00352）；会议状态以 ICLR OpenReview 为准,2026-07-24T22:46:48+08:00
public_pdf,7,07_Barke_Grounded_Copilot_author_manuscript.pdf,1283709,9191D92799B9AE22681456805363CC21B106C85EB000B9E472AAD60F6EE96200,https://arxiv.org/pdf/2206.15000,作者公开稿（arXiv 2206.15000）；正式著录以 ACM DOI 为准,2026-07-24T22:46:48+08:00
public_pdf,8,08_Amershi_Guidelines_for_Human_AI_Interaction_author_copy.pdf,1405242,82FFF584C6B986F573608361478E93447538C6CE707E4B9B04D45D584272EA03,https://www.microsoft.com/en-us/research/uploads/prod/2019/01/Guidelines-for-Human-AI-Interaction-camera-ready.pdf,Microsoft Research 作者公开终稿；正式著录以 ACM DOI 为准,2026-07-24T22:46:48+08:00
public_pdf,9,09_Perry_Insecure_Code_with_AI_Assistants_author_manuscript.pdf,3264113,C079F7B417079EFD03F57848FB011963F9DF856156B5A9BD605C00AF725D706A,https://arxiv.org/pdf/2211.03622,作者公开稿（arXiv 2211.03622）；正式著录以 ACM DOI 为准,2026-07-24T22:46:48+08:00
public_pdf,10,10_Van_der_Aalst_Workflow_Patterns_repository_copy.pdf,723611,3205AF381C9B5E544FC865905DA1130F6956A8C0E814FBBBA9DFB07038AE875D,https://eprints.qut.edu.au/9950/1/9950.pdf,QUT 机构仓储公开稿；正式著录以 Springer DOI 为准,2026-07-24T22:46:48+08:00
public_pdf,11,11_Hauge_OSS_Adoption_repository_copy.pdf,625933,B2F832FC988EEF28200C5203B3BE21B4880EE512DFF70C5965E5C67BA37553EF,https://upcommons.upc.edu/server/api/core/bitstreams/6e024616-6b14-43c3-84a6-cae4135c65be/content,UPC 机构仓储公开稿（CC BY-NC-ND）；正式著录以 Elsevier DOI 为准,2026-07-24T22:46:48+08:00
public_pdf,12,12_Franco_Bedoya_OSS_Ecosystems_preprint.pdf,2744629,60287A1B91882F0BEB38525E5FE01ED1D5E7DD0FAE862B061465FF62F17F9D73,https://upcommons.upc.edu/server/api/core/bitstreams/ef618ad5-fe78-4aad-8c4c-c2c134e1a91b/content,UPC 机构仓储预印本；正式著录以 Elsevier DOI 为准,2026-07-24T22:46:48+08:00
public_pdf,13,13_Moreau_Open_Provenance_Model_repository_copy.pdf,516690,FEDF317274A691342E82FA1BF51F283B5BB802B64C4B79DCC92F13367C4595C0,https://kclpure.kcl.ac.uk/ws/files/8803757/Moreau_Open_2010.pdf,King's College London 机构仓储公开稿；正式著录以 Elsevier DOI 为准,2026-07-24T22:46:48+08:00
public_pdf,14,14_Tabassi_NIST_AI_RMF_1.0.pdf,1946127,7576EDB531D9848825814EE88E28B1795D3A84B435B4B797D3670EAFDC4A89F1,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,NIST 官方正式 PDF,2026-07-24T22:46:48+08:00
official_html_snapshot,6,06_MCP_Specification_2025-06-18_official.html,300998,9373D3413C167695D868F17CEB6434851C6F8A3F758C1A4AEDA1A5209F63754B,https://modelcontextprotocol.io/specification/2025-06-18,官方持续维护的网页规范，无正式 PDF,2026-07-24T22:46:48+08:00
